FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLEDATE,SAMPLETIME,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,TASK_CODE_2,PARENT_SAMPLE_CODE,FIELD_SDG,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORT_METHOD_DETECTION_LIMIT,REPORT_REPORTING_LIMIT,REPORT_QUANTITATION_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,REJECT_FLAG,DEPTH_INTERVAL,J_STATUS,J_STATUS_FLAG,RAD_U_FLAG,REPORT_RAD_VALUE,REPORT_RAD_TEXT,DETECTED,DETECTED_FLAG
360,CFFF,W-29,W-029,14798,W-29-2020Q2-GW,W-29-2020-Q2,4/3/2020,03 Apr 2020,13:57,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-005,WG,SHEALY,SW8260D,4/7/2020,NA,N,INITIAL,,,,VD04001,,1,24934,79-01-6,Trichloroethene,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024101.64,745182.77,,,,,,N,,,,,1,< 1,,
360,CFFF,W-38,W-038,14800,W-38-2020Q2-GW,W-38-2020-Q2,4/3/2020,03 Apr 2020,12:50,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-003,WG,SHEALY,E353.2,4/4/2020,NA,T,INITIAL,,,,VD04001,,2,24936,NO3-N,Nitrate as N,,3.1,3.1,mg/L,0.04,0.02,0.04,0.04,YES,Y,,,,0.04,0.02,0.04,mg/L,,3.1,3.1,mg/L,TRG,2024192.97,745250.31,,,,,,N,,,,,3.1,3.1,,x
360,CFFF,W-38,W-038,14800,W-38-2020Q2-GW,W-38-2020-Q2,4/3/2020,03 Apr 2020,12:50,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-003,WG,SHEALY,SW8260D,4/7/2020,NA,N,INITIAL,,,,VD04001,,1,24937,127-18-4,Tetrachloroethene,Y,1.4,1.4,ug/L,1,0.4,1,1,YES,Y,,,,1,0.4,1,ug/L,,1.4,1.4,ug/L,TRG,2024192.97,745250.31,,,,,,N,,,,,1.4,1.4,,x
360,CFFF,W-38,W-038,14800,W-38-2020Q2-GW,W-38-2020-Q2,4/3/2020,03 Apr 2020,12:50,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-003,WG,SHEALY,SW8260D,4/7/2020,NA,N,INITIAL,,,,VD04001,,1,24937,156-59-2,"cis-1,2-Dichloroethene",Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024192.97,745250.31,,,,,,N,,,,,1,< 1,,
360,CFFF,W-38,W-038,14800,W-38-2020Q2-GW,W-38-2020-Q2,4/3/2020,03 Apr 2020,12:50,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-003,WG,SHEALY,SW8260D,4/7/2020,NA,N,INITIAL,,,,VD04001,,1,24937,75-01-4,Vinyl chloride,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024192.97,745250.31,,,,,,N,,,,,1,< 1,,
360,CFFF,W-38,W-038,14800,W-38-2020Q2-GW,W-38-2020-Q2,4/3/2020,03 Apr 2020,12:50,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-003,WG,SHEALY,SW8260D,4/7/2020,NA,N,INITIAL,,,,VD04001,,1,24937,79-01-6,Trichloroethene,Y,5.7,5.7,ug/L,1,0.4,1,1,YES,Y,,,,1,0.4,1,ug/L,,5.7,5.7,ug/L,TRG,2024192.97,745250.31,,,,,,N,,,,,5.7,5.7,,x
360,CFFF,W-72,W-072,24908,W-72-2020Q2-GW,Well # 72,4/3/2020,03 Apr 2020,10:15,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-001,WG,SHEALY,E353.2,4/4/2020,NA,T,INITIAL,,,,VD04001,,5,24939,NO3-N,Nitrate as N,,6.3,6.3,mg/L,0.1,0.05,0.1,0.1,YES,Y,,,,0.1,0.05,0.1,mg/L,,6.3,6.3,mg/L,TRG,2024162.69,745450.25,,,,,,N,,,,,6.3,6.3,,x
360,CFFF,W-72,W-072,24908,W-72-2020Q2-GW,Well # 72,4/3/2020,03 Apr 2020,10:15,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-001,WG,SHEALY,SW8260D,4/7/2020,NA,N,INITIAL,,,,VD04001,,1,24940,127-18-4,Tetrachloroethene,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024162.69,745450.25,,,,,,N,,,,,1,< 1,,
360,CFFF,W-72,W-072,24908,W-72-2020Q2-GW,Well # 72,4/3/2020,03 Apr 2020,10:15,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-001,WG,SHEALY,SW8260D,4/7/2020,NA,N,INITIAL,,,,VD04001,,1,24940,156-59-2,"cis-1,2-Dichloroethene",Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024162.69,745450.25,,,,,,N,,,,,1,< 1,,
360,CFFF,W-72,W-072,24908,W-72-2020Q2-GW,Well # 72,4/3/2020,03 Apr 2020,10:15,N,,,,WG,2020-Q2-GW,,,VD04001,LB,VD04001-001,WG,SHEALY,SW8260D,4/7/2020,NA,N,INITIAL,,,,VD04001,,1,24940,75-01-4,Vinyl chloride,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024162.69,745450.25,,,,,,N,,,,,1,< 1,,
